Relative_Day,Inspection_ID,Position,PN,SN,Water,Disbond,mAm,SFD,D4,D7,Exposure,Bin mAm,Bin SFD,Relative_Week,Relative_Month,Relative_Quarter,Rain_Season
0,E001,RH,PN01,SN002,0,1,6,2,1,0,1.5,HIGH,LONG,0,0,1,NW
5,E002,RH,PN01,SN038,0,1,6,2,1,0,1.5,HIGH,LONG,0,0,1,NW
5,E003,LH,PN01,SN042,0,1,2,2,1,0,0.5,MID,LONG,0,0,1,NW
6,E004,RH,PN01,SN011,0,1,5.3,2,1,0,1.3,HIGH,LONG,0,0,1,NW
7,E005,LH,PN01,SN023,0,1,2,1.2,0,1,1.4,MID,SHORT,1,0,1,NW
10,E006,RH,PN01,SN041,0,1,2,2,0,1,0.5,MID,LONG,1,0,1,NW
12,E007,LH,PN01,SN019,0,1,2,2,0,1,0.5,MID,LONG,1,0,1,NW
17,E008,RH,PN01,SN011,0,1,5.6,2,1,0,1.4,HIGH,LONG,2,0,1,NW
17,E009,LH,PN01,SN047,1,1,5.6,2,1,0,1.4,HIGH,LONG,2,0,1,NW
18,E010,LH,PN01,SN004,1,1,2,2,1,0,0.5,MID,LONG,2,0,1,NW
19,E011,RH,PN01,SN046,1,1,2,2,0,1,0.5,MID,LONG,2,0,1,NW
20,E012,LH,PN01,SN016,0,1,2,2,0,1,0.5,MID,LONG,2,0,1,NW
21,E013,LH,PN01,SN009,0,1,6,2,1,0,1.5,HIGH,LONG,3,0,1,NW
22,E014,RH,PN01,SN028,0,1,2,2,0,1,0.5,MID,LONG,3,0,1,NW
23,E015,RH,PN01,SN001,0,1,2,2,0,1,0.5,MID,LONG,3,0,1,NW
25,E016,LH,PN01,SN019,0,1,2,2,0,1,0.5,MID,LONG,3,0,1,NW
26,E017,RH,PN01,SN012,0,1,2,2,0,1,0.5,MID,LONG,3,0,1,NW
27,E018,LH,PN01,SN024,0,1,2,2,0,1,0.5,MID,LONG,3,0,1,NW
28,E019,LH,PN01,SN002,1,1,2,2,0,1,0.5,MID,LONG,4,0,1,NW
32,E020,LH,PN01,SN037,0,1,2,2,1,0,0.5,MID,LONG,4,1,1,Transition
32,E021,RH,PN01,SN009,0,0,6,2,1,0,1.5,HIGH,LONG,4,1,1,Transition
32,E022,RH,PN01,SN035,0,1,2,2,0,1,0.5,MID,LONG,4,1,1,Transition
32,E023,LH,PN01,SN034,0,1,6,2,1,0,1.5,HIGH,LONG,4,1,1,Transition
35,E024,RH,PN01,SN001,1,1,5.8,2,1,0,1.4,HIGH,LONG,5,1,1,Transition
36,E025,LH,PN01,SN043,0,1,2,2,0,1,0.5,MID,LONG,5,1,1,Transition
37,E026,LH,PN01,SN031,0,1,6,2,1,0,1.5,HIGH,LONG,5,1,1,Transition
38,E027,LH,PN01,SN047,1,1,2,2,1,0,0.5,MID,LONG,5,1,1,Transition
42,E028,RH,PN01,SN007,1,1,2,2,0,1,0.5,MID,LONG,6,1,1,Transition
44,E029,LH,PN01,SN005,0,1,2,1.7,1,0,0.7,MID,SHORT,6,1,1,Transition
45,E030,RH,PN01,SN016,1,1,6,2,1,0,1.5,HIGH,LONG,6,1,1,Transition
46,E032,RH,PN01,SN046,0,1,6,2,1,0,1.5,HIGH,LONG,6,1,1,Transition
46,E033,LH,PN01,SN021,1,1,2,2,0,1,0.5,MID,LONG,6,1,1,Transition
46,E034,RH,PN01,SN006,0,1,5.4,2,1,0,1.4,HIGH,LONG,6,1,1,Transition
46,E031,LH,PN01,SN025,1,1,2,1.9,0,1,0.6,MID,SHORT,6,1,1,Transition
48,E035,RH,PN01,SN038,0,1,2,2,0,1,0.5,MID,LONG,6,1,1,Transition
48,E038,RH,PN01,SN009,0,1,2,2,0,1,0.5,MID,LONG,6,1,1,Transition
48,E036,RH,PN01,SN014,0,1,6,2,1,0,1.5,HIGH,LONG,6,1,1,Transition
48,E037,LH,PN01,SN005,1,1,2,2,1,0,0.5,MID,LONG,6,1,1,Transition
51,E039,RH,PN01,SN046,1,0,2,2,0,1,0.5,MID,LONG,7,1,1,Transition
55,E040,RH,PN01,SN043,1,1,5.7,2,1,0,1.4,HIGH,LONG,7,1,1,Transition
56,E041,LH,PN01,SN014,0,1,2,2,1,0,0.5,MID,LONG,8,1,1,Transition
57,E042,RH,PN01,SN004,1,1,6,2,1,0,1.5,HIGH,LONG,8,1,1,Transition
58,E043,RH,PN01,SN017,1,1,2,2,0,1,0.5,MID,LONG,8,1,1,Transition
58,E044,RH,PN01,SN045,0,1,2,2,0,1,0.5,MID,LONG,8,1,1,Transition
59,E045,LH,PN01,SN020,0,1,2,2,1,0,0.5,MID,LONG,8,1,1,Transition
60,E046,RH,PN01,SN043,1,1,2,2,0,1,0.5,MID,LONG,8,2,1,Transition
63,E047,LH,PN01,SN016,0,0,2,2,0,1,0.5,MID,LONG,9,2,1,Transition
73,E048,RH,PN01,SN022,0,1,2,2,0,1,0.5,MID,LONG,10,2,1,Transition
73,E049,LH,PN01,SN045,1,1,2,2,1,0,0.5,MID,LONG,10,2,1,Transition
74,E050,LH,PN01,SN020,0,1,6,2,1,0,1.5,HIGH,LONG,10,2,1,Transition
77,E051,LH,PN01,SN005,0,1,2,1.3,0,1,1.2,MID,SHORT,11,2,1,Transition
77,E052,RH,PN01,SN008,0,1,2,2,0,1,0.5,MID,LONG,11,2,1,Transition
79,E053,RH,PN01,SN023,0,1,2,2,0,1,0.5,MID,LONG,11,2,1,Transition
79,E054,RH,PN01,SN017,1,1,2,2,0,1,0.5,MID,LONG,11,2,1,Transition
80,E055,RH,PN01,SN043,1,1,2,2,0,1,0.5,MID,LONG,11,2,1,Transition
81,E056,RH,PN01,SN008,0,1,2,2,0,1,0.5,MID,LONG,11,2,1,Transition
81,E057,LH,PN01,SN009,1,1,2,2,0,1,0.5,MID,LONG,11,2,1,Transition
81,E058,RH,PN01,SN026,0,1,6,2,1,0,1.5,HIGH,LONG,11,2,1,Transition
83,E059,RH,PN01,SN030,0,1,2,1.6,0,1,0.8,MID,SHORT,11,2,1,Transition
84,E060,RH,PN01,SN019,0,1,2,2,0,1,0.5,MID,LONG,12,2,1,Transition
85,E061,RH,PN01,SN015,0,1,5.6,2,1,0,1.4,HIGH,LONG,12,2,1,Transition
85,E062,LH,PN01,SN041,0,1,2,2,0,1,0.5,MID,LONG,12,2,1,Transition
87,E063,RH,PN01,SN007,0,1,2,2,0,1,0.5,MID,LONG,12,2,1,Transition
87,E064,RH,PN01,SN008,0,1,2,2,0,1,0.5,MID,LONG,12,2,1,Transition
87,E065,RH,PN01,SN029,0,1,2,2,0,1,0.5,MID,LONG,12,2,1,Transition
88,E066,RH,PN01,SN031,0,1,2,2,1,0,0.5,MID,LONG,12,2,1,Transition
90,E067,RH,PN01,SN016,1,1,6,2,1,0,1.5,HIGH,LONG,12,3,2,Transition
90,E068,RH,PN01,SN009,1,1,6,2,1,0,1.5,HIGH,LONG,12,3,2,Transition
91,E069,LH,PN01,SN030,0,1,2,2,0,1,0.5,MID,LONG,13,3,2,Transition
91,E070,RH,PN01,SN037,0,1,2,2,0,1,0.5,MID,LONG,13,3,2,Transition
92,E071,RH,PN01,SN027,0,1,2,2,0,1,0.5,MID,LONG,13,3,2,Transition
93,E072,LH,PN01,SN032,1,1,2,2,0,1,0.5,MID,LONG,13,3,2,Transition
94,E073,LH,PN01,SN009,0,1,2,2,0,1,0.5,MID,LONG,13,3,2,Transition
96,E074,LH,PN01,SN028,1,1,6,2,1,0,1.5,HIGH,LONG,13,3,2,Transition
97,E075,LH,PN01,SN025,1,0,2,2,0,1,0.5,MID,LONG,13,3,2,Transition
97,E076,RH,PN01,SN004,0,1,2,2,0,1,0.5,MID,LONG,13,3,2,Transition
97,E077,RH,PN01,SN016,1,1,6,2,1,0,1.5,HIGH,LONG,13,3,2,Transition
98,E078,RH,PN01,SN014,0,1,2,1.6,0,1,0.8,MID,SHORT,14,3,2,Transition
100,E079,RH,PN01,SN011,0,1,6,2,1,0,1.5,HIGH,LONG,14,3,2,Transition
101,E080,RH,PN01,SN026,0,1,2,2,0,1,0.5,MID,LONG,14,3,2,Transition
102,E081,RH,PN01,SN020,0,1,5.7,2,1,0,1.4,HIGH,LONG,14,3,2,Transition
102,E082,LH,PN01,SN024,1,1,6,2,1,0,1.5,HIGH,LONG,14,3,2,Transition
102,E083,LH,PN01,SN024,0,1,2,2,0,1,0.5,MID,LONG,14,3,2,Transition
105,E084,RH,PN01,SN018,0,1,2,2,0,1,0.5,MID,LONG,15,3,2,Transition
108,E085,RH,PN01,SN021,0,1,5.2,2,1,0,1.3,HIGH,LONG,15,3,2,Transition
108,E086,RH,PN01,SN025,1,1,2,2,0,1,0.5,MID,LONG,15,3,2,Transition
